group	study.quarter	actor	target	number.wins
G1	1	bbb	rgn	1
G1	1	bgn	bng	2
G1	1	bgn	ggg	4
G1	1	bgn	grr	1
G1	1	bgn	nrb	3
G1	1	bgn	oon	2
G1	1	bgn	rnb	1
G1	1	bgr	brr	4
G1	1	bgr	ggg	1
G1	1	bgr	grg	1
G1	1	bgr	grr	1
G1	1	bgr	rng	2
G1	1	bng	brr	3
G1	1	bng	grg	1
G1	1	bng	nrb	2
G1	1	bng	rnb	1
G1	1	brn	bgn	1
G1	1	brn	bgr	1
G1	1	brn	bng	1
G1	1	brn	gbb	1
G1	1	brn	ggg	1
G1	1	brn	grb	1
G1	1	brn	grg	1
G1	1	brn	nbg	2
G1	1	brn	oon	1
G1	1	brn	rgn	1
G1	1	brn	rrr	1
G1	1	brr	gpn	2
G1	1	brr	grb	4
G1	1	brr	rbr	1
G1	1	brr	rgn	3
G1	1	brr	rnb	1
G1	1	gbb	bbb	2
G1	1	gbb	bgn	1
G1	1	gbb	bgr	1
G1	1	gbb	brr	4
G1	1	gbb	ggg	4
G1	1	gbb	gpn	1
G1	1	gbb	grb	3
G1	1	gbb	grg	2
G1	1	gbb	grr	1
G1	1	gbb	nbg	1
G1	1	gbb	nrb	2
G1	1	gbb	oon	1
G1	1	gbb	rbr	6
G1	1	gbb	rgn	2
G1	1	gbb	rnb	1
G1	1	gbb	rng	5
G1	1	ggg	bng	3
G1	1	ggg	brr	1
G1	1	ggg	gpn	2
G1	1	ggg	grb	1
G1	1	ggg	grg	2
G1	1	ggg	grr	4
G1	1	ggg	rbr	6
G1	1	ggg	rnb	1
G1	1	grb	bbb	1
G1	1	grb	rbr	3
G1	1	grg	rbr	1
G1	1	grg	rng	1
G1	1	grr	brr	1
G1	1	nbg	bng	1
G1	1	nbg	brr	1
G1	1	nbg	grb	1
G1	1	nbg	grr	1
G1	1	nbg	nrb	1
G1	1	nbg	oon	1
G1	1	nbg	rnb	1
G1	1	nbg	rrr	1
G1	1	nrb	bng	1
G1	1	nrb	rbr	2
G1	1	nrb	rnb	1
G1	1	nrb	rng	1
G1	1	oon	ggg	1
G1	1	oon	grb	2
G1	1	oon	grg	1
G1	1	oon	grr	2
G1	1	oon	rbr	4
G1	1	oon	rgn	1
G1	1	rbr	ggg	1
G1	1	rbr	gpn	2
G1	1	rbr	nbg	1
G1	1	rbr	rnb	2
G1	1	rnb	brr	1
G1	1	rnb	grb	3
G1	1	rnb	oon	1
G1	1	rnb	rng	2
G1	1	rng	rgn	2
G1	1	rrr	bbb	1
G1	1	rrr	grg	1
G1	1	rrr	oon	1
G1	1	rrr	rbr	2
G1	1	ryn	bgr	1
G1	1	ryn	gbb	2
G1	1	ryn	ggg	1
G1	1	ryn	grb	1
G1	1	ryn	grg	2
G1	1	ryn	nbg	3
G1	1	ryn	rbr	2
G1	1	ryn	rng	1
G1	1	ryn	rrr	1
G1	2	bbb	ggg	1
G1	2	bbb	grb	2
G1	2	bbb	grg	2
G1	2	bbb	rbr	1
G1	2	bbb	rnb	1
G1	2	bgn	bbb	1
G1	2	bgn	gpn	1
G1	2	bgn	grg	1
G1	2	bgn	grr	1
