Blackburn,Wolves,1,2
Fulham,Aston Villa,0,0
Liverpool,Sunderland,1,1
Newcastle,Arsenal,0,0
QPR,Bolton,0,4
Wigan,Norwich,1,1
Stoke,Chelsea,0,0
West Brom,Man United,1,2
Man City,Swansea,4,0
Arsenal,Liverpool,0,2
Aston Villa,Blackburn,3,1
Chelsea,West Brom,2,1
Everton,QPR,0,1
Sunderland,Newcastle,0,1
Swansea,Wigan,0,0
Bolton,Man City,2,3
Norwich,Stoke,1,1
Wolves,Fulham,2,0
Man United,Tottenham,3,0
Aston Villa,Wolves,0,0
Blackburn,Everton,0,1
Chelsea,Norwich,3,1
Liverpool,Bolton,3,1
Swansea,Sunderland,0,0
Wigan,QPR,2,0
Man United,Arsenal,8,2
Newcastle,Fulham,2,1
Tottenham,Man City,1,5
West Brom,Stoke,0,1
Arsenal,Swansea,1,0
Bolton,Man United,0,5
Everton,Aston Villa,2,2
Man City,Wigan,3,0
Stoke,Liverpool,1,0
Sunderland,Chelsea,1,2
Wolves,Tottenham,0,2
Fulham,Blackburn,1,1
Norwich,West Brom,0,1
QPR,Newcastle,0,0
Aston Villa,Newcastle,1,1
Blackburn,Arsenal,4,3
Bolton,Norwich,1,2
Everton,Wigan,3,1
Swansea,West Brom,3,0
Wolves,QPR,0,3
Fulham,Man City,2,2
Man United,Chelsea,3,1
Sunderland,Stoke,4,0
Tottenham,Liverpool,4,0
Arsenal,Bolton,3,0
Chelsea,Swansea,4,1
Liverpool,Wolves,2,1
Man City,Everton,2,0
Newcastle,Blackburn,3,1
Stoke,Man United,1,1
West Brom,Fulham,0,0
Wigan,Tottenham,1,2
QPR,Aston Villa,1,1
Norwich,Sunderland,2,1
Aston Villa,Wigan,2,0
Blackburn,Man City,0,4
Everton,Liverpool,0,2
Man United,Norwich,2,0
Sunderland,West Brom,2,2
Wolves,Newcastle,1,2
Bolton,Chelsea,1,5
Fulham,QPR,6,0
Swansea,Stoke,2,0
Tottenham,Arsenal,2,1
Chelsea,Everton,3,1
Liverpool,Man United,1,1
Man City,Aston Villa,4,1
Norwich,Swansea,3,1
QPR,Blackburn,1,1
Stoke,Fulham,2,0
Wigan,Bolton,1,3
Arsenal,Sunderland,2,1
Newcastle,Tottenham,2,2
West Brom,Wolves,2,0
Aston Villa,West Brom,1,2
Bolton,Sunderland,0,2
Liverpool,Norwich,1,1
Newcastle,Wigan,1,0
Wolves,Swansea,2,2
Arsenal,Stoke,3,1
Blackburn,Tottenham,1,2
Fulham,Everton,1,3
Man United,Man City,1,6
QPR,Chelsea,1,0
Chelsea,Arsenal,3,5
Everton,Man United,0,1
Man City,Wolves,3,1
Norwich,Blackburn,3,3
Sunderland,Aston Villa,2,2
Swansea,Bolton,3,1
West Brom,Liverpool,0,2
Wigan,Fulham,0,2
Tottenham,QPR,3,1
Stoke,Newcastle,1,3
Arsenal,West Brom,3,0
Aston Villa,Norwich,3,2
Blackburn,Chelsea,0,1
Liverpool,Swansea,0,0
Man United,Sunderland,1,0
Newcastle,Everton,2,1
QPR,Man City,2,3
Bolton,Stoke,5,0
Fulham,Tottenham,1,3
Wolves,Wigan,3,1
Everton,Wolves,2,1
Man City,Newcastle,3,1
Norwich,Arsenal,1,2
Stoke,QPR,2,3
Sunderland,Fulham,0,0
Swansea,Man United,0,1
West Brom,Bolton,2,1
Wigan,Blackburn,3,3
Chelsea,Liverpool,1,2
Tottenham,Aston Villa,2,0
Arsenal,Fulham,1,1
Bolton,Everton,0,2
Chelsea,Wolves,3,0
Man United,Newcastle,1,1
Norwich,QPR,2,1
Stoke,Blackburn,3,1
Sunderland,Wigan,1,2
West Brom,Tottenham,1,3
Liverpool,Man City,1,1
Swansea,Aston Villa,0,0
Aston Villa,Man United,0,1
Blackburn,Swansea,4,2
Man City,Norwich,5,1
Newcastle,Chelsea,0,3
QPR,West Brom,1,1
Tottenham,Bolton,3,0
Wigan,Arsenal,0,4
Everton,Stoke,0,1
Wolves,Sunderland,2,1
Fulham,Liverpool,1,0
Arsenal,Everton,1,0
Bolton,Aston Villa,1,2
Liverpool,QPR,1,0
Man United,Wolves,4,1
Norwich,Newcastle,4,2
Swansea,Fulham,2,0
West Brom,Wigan,1,2
Stoke,Tottenham,2,1
Sunderland,Blackburn,2,1
Chelsea,Man City,2,1
Blackburn,West Brom,1,2
Everton,Norwich,1,1
Fulham,Bolton,2,0
Newcastle,Swansea,0,0
Wigan,Chelsea,1,1
Wolves,Stoke,1,2
Aston Villa,Liverpool,0,2
Man City,Arsenal,1,0
QPR,Man United,0,2
Tottenham,Sunderland,1,0
Blackburn,Bolton,1,2
Wolves,Norwich,2,2
Aston Villa,Arsenal,1,2
Everton,Swansea,1,0
Fulham,Man United,0,5
Man City,Stoke,3,0
Newcastle,West Brom,2,3
QPR,Sunderland,2,3
Wigan,Liverpool,0,0
Tottenham,Chelsea,1,1
Bolton,Newcastle,0,2
Chelsea,Fulham,1,1
Liverpool,Blackburn,1,1
Man United,Wigan,5,0
Stoke,Aston Villa,0,0
Sunderland,Everton,1,1
West Brom,Man City,0,0
Arsenal,Wolves,1,1
Norwich,Tottenham,0,2
Swansea,QPR,1,1
Liverpool,Newcastle,3,1
Arsenal,QPR,1,0
Bolton,Wolves,1,1
Chelsea,Aston Villa,1,3
Man United,Blackburn,2,3
Norwich,Fulham,1,1
Stoke,Wigan,2,2
Swansea,Tottenham,1,1
Sunderland,Man City,1,0
West Brom,Everton,0,1
Aston Villa,Swansea,0,2
Blackburn,Stoke,1,2
Fulham,Arsenal,2,1
QPR,Norwich,1,2
Wolves,Chelsea,1,2
Man City,Liverpool,3,0
Tottenham,West Brom,1,0
Wigan,Sunderland,1,4
Everton,Bolton,1,2
Newcastle,Man United,3,0
Tottenham,Everton,2,0
Aston Villa,Everton,1,1
Blackburn,Fulham,3,1
Chelsea,Sunderland,1,0
Liverpool,Stoke,0,0
Man United,Bolton,3,0
Tottenham,Wolves,1,1
West Brom,Norwich,1,2
Newcastle,QPR,1,0
Swansea,Arsenal,3,2
Wigan,Man City,0,1
Bolton,Liverpool,3,1
Everton,Blackburn,1,1
Fulham,Newcastle,5,2
Norwich,Chelsea,0,0
QPR,Wigan,3,1
Stoke,West Brom,1,2
Sunderland,Swansea,2,0
Wolves,Aston Villa,2,3
Arsenal,Man United,1,2
Man City,Tottenham,3,2
Everton,Man City,1,0
Man United,Stoke,2,0
Swansea,Chelsea,1,1
Tottenham,Wigan,3,1
Wolves,Liverpool,0,3
Aston Villa,QPR,2,2
Blackburn,Newcastle,0,2
Bolton,Arsenal,0,0
Fulham,West Brom,1,1
Sunderland,Norwich,3,0
Arsenal,Blackburn,7,1
Man City,Fulham,3,0
Norwich,Bolton,2,0
QPR,Wolves,1,2
Stoke,Sunderland,0,1
West Brom,Swansea,1,2
Wigan,Everton,1,1
Chelsea,Man United,3,3
Newcastle,Aston Villa,2,1
Liverpool,Tottenham,0,0
Blackburn,QPR,3,2
Bolton,Wigan,1,2
Everton,Chelsea,2,0
Fulham,Stoke,2,1
Man United,Liverpool,2,1
Sunderland,Arsenal,1,2
Swansea,Norwich,2,3
Tottenham,Newcastle,5,0
Aston Villa,Man City,0,1
Wolves,West Brom,1,5
Chelsea,Bolton,3,0
Man City,Blackburn,3,0
Newcastle,Wolves,2,2
QPR,Fulham,0,1
West Brom,Sunderland,4,0
